SIG=(4,1) | TYPE=pure-wedge | S=- | N=D1 | K=- | dimc=4 | dimcc=2 | abelian=0 | eig=[(0,5)] | dimker=3 | A2zero=0 | minpolydeg=3
SIG=(4,1) | TYPE=NONE | S=- | N=D0 | K=- | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(4,1) | TYPE=mixed | S=R+(0,1)x1 | N=D1 | K=(2,1) | dimc=2 | dimcc=0 | abelian=1 | eig=[(-I,1),(0,3),(I,1)] | dimker=1 | A2zero=0 | minpolydeg=5
SIG=(4,1) | TYPE=NONE | S=R+(0,1)x1 | N=D0 | K=(2,1) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(4,1) | TYPE=NONE | S=B(0,4)x1 | N=D1 | K=(3,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(4,1) | TYPE=NONE | S=B(0,4)x1 | N=D0 | K=(3,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,2) | TYPE=pure-block | S=R+(0,1)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-I,1),(0,3),(I,1)] | dimker=3 | A2zero=0 | minpolydeg=3
SIG=(3,2) | TYPE=pure-block | S=R-(3,4)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-I,1),(0,3),(I,1)] | dimker=3 | A2zero=0 | minpolydeg=3
SIG=(3,2) | TYPE=pure-block | S=B(0,3)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-1,1),(0,3),(1,1)] | dimker=3 | A2zero=0 | minpolydeg=3
SIG=(3,2) | TYPE=pure-block | S=R+(0,1)x1,R-(3,4)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-I,2),(0,1),(I,2)] | dimker=1 | A2zero=0 | minpolydeg=3
SIG=(3,2) | TYPE=pure-block | S=B(0,3)x1,B(1,4)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-1,2),(0,1),(1,2)] | dimker=1 | A2zero=0 | minpolydeg=3
SIG=(3,2) | TYPE=pure-block | S=R+(0,1)x1,R-(3,4)x2 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-2*I,1),(-I,1),(0,1),(2*I,1),(I,1)] | dimker=1 | A2zero=0 | minpolydeg=5
SIG=(3,2) | TYPE=pure-block | S=B(0,3)x1,B(1,4)x2 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-1,1),(-2,1),(0,1),(1,1),(2,1)] | dimker=1 | A2zero=0 | minpolydeg=5
SIG=(3,2) | TYPE=pure-block | S=R+(0,1)x1,B(2,3)x1 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-1,1),(-I,1),(0,1),(1,1),(I,1)] | dimker=1 | A2zero=0 | minpolydeg=5
SIG=(3,2) | TYPE=pure-wedge | S=- | N=D1 | K=- | dimc=4 | dimcc=2 | abelian=0 | eig=[(0,5)] | dimker=3 | A2zero=0 | minpolydeg=3
SIG=(3,2) | TYPE=pure-wedge | S=- | N=D0 | K=- | dimc=6 | dimcc=6 | abelian=0 | eig=[(0,5)] | dimker=3 | A2zero=1 | minpolydeg=2
SIG=(3,2) | TYPE=mixed | S=R+(0,1)x1 | N=D1 | K=(1,2) | dimc=2 | dimcc=0 | abelian=1 | eig=[(-I,1),(0,3),(I,1)] | dimker=1 | A2zero=0 | minpolydeg=5
SIG=(3,2) | TYPE=NONE | S=R+(0,1)x1 | N=D0 | K=(1,2) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,2) | TYPE=NONE | S=R-(3,4)x1 | N=D1 | K=(3,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,2) | TYPE=NONE | S=R-(3,4)x1 | N=D0 | K=(3,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,2) | TYPE=mixed | S=B(0,3)x1 | N=D1 | K=(2,1) | dimc=2 | dimcc=0 | abelian=1 | eig=[(-1,1),(0,3),(1,1)] | dimker=1 | A2zero=0 | minpolydeg=5
SIG=(3,2) | TYPE=NONE | S=B(0,3)x1 | N=D0 | K=(2,1) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(6,0) | TYPE=pure-block | S=R+(0,1)x1 | N=- | K=- | dimc=7 | dimcc=6 | abelian=0 | eig=[(-I,1),(0,4),(I,1)] | dimker=4 | A2zero=0 | minpolydeg=3
SIG=(6,0) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x1 | N=- | K=- | dimc=5 | dimcc=3 | abelian=0 | eig=[(-I,2),(0,2),(I,2)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(6,0) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x2 | N=- | K=- | dimc=3 | dimcc=0 | abelian=1 | eig=[(-2*I,1),(-I,1),(0,2),(2*I,1),(I,1)] | dimker=2 | A2zero=0 | minpolydeg=5
SIG=(6,0) | TYPE=NONE | S=- | N=D1 | K=- | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(6,0) | TYPE=NONE | S=- | N=D0 | K=- | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(6,0) | TYPE=NONE | S=R+(0,1)x1 | N=D1 | K=(4,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(6,0) | TYPE=NONE | S=R+(0,1)x1 | N=D0 | K=(4,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(5,1) | TYPE=pure-block | S=R+(0,1)x1 | N=- | K=- | dimc=7 | dimcc=6 | abelian=0 | eig=[(-I,1),(0,4),(I,1)] | dimker=4 | A2zero=0 | minpolydeg=3
SIG=(5,1) | TYPE=pure-block | S=B(0,5)x1 | N=- | K=- | dimc=7 | dimcc=6 | abelian=0 | eig=[(-1,1),(0,4),(1,1)] | dimker=4 | A2zero=0 | minpolydeg=3
SIG=(5,1) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x1 | N=- | K=- | dimc=5 | dimcc=3 | abelian=0 | eig=[(-I,2),(0,2),(I,2)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(5,1) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x2 | N=- | K=- | dimc=3 | dimcc=0 | abelian=1 | eig=[(-2*I,1),(-I,1),(0,2),(2*I,1),(I,1)] | dimker=2 | A2zero=0 | minpolydeg=5
SIG=(5,1) | TYPE=pure-block | S=R+(0,1)x1,B(2,5)x1 | N=- | K=- | dimc=3 | dimcc=0 | abelian=1 | eig=[(-1,1),(-I,1),(0,2),(1,1),(I,1)] | dimker=2 | A2zero=0 | minpolydeg=5
SIG=(5,1) | TYPE=pure-wedge | S=- | N=D1 | K=- | dimc=7 | dimcc=6 | abelian=0 | eig=[(0,6)] | dimker=4 | A2zero=0 | minpolydeg=3
SIG=(5,1) | TYPE=NONE | S=- | N=D0 | K=- | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(5,1) | TYPE=mixed | S=R+(0,1)x1 | N=D1 | K=(3,1) | dimc=3 | dimcc=0 | abelian=1 | eig=[(-I,1),(0,4),(I,1)] | dimker=2 | A2zero=0 | minpolydeg=5
SIG=(5,1) | TYPE=NONE | S=R+(0,1)x1 | N=D0 | K=(3,1) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(5,1) | TYPE=NONE | S=B(0,5)x1 | N=D1 | K=(4,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(5,1) | TYPE=NONE | S=B(0,5)x1 | N=D0 | K=(4,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(4,2) | TYPE=pure-block | S=R+(0,1)x1 | N=- | K=- | dimc=7 | dimcc=6 | abelian=0 | eig=[(-I,1),(0,4),(I,1)] | dimker=4 | A2zero=0 | minpolydeg=3
SIG=(4,2) | TYPE=pure-block | S=R-(4,5)x1 | N=- | K=- | dimc=7 | dimcc=6 | abelian=0 | eig=[(-I,1),(0,4),(I,1)] | dimker=4 | A2zero=0 | minpolydeg=3
